experiment;D_cm;D;rhofrac;hr_cm;hr;am_cm;am;as_cm;as;Q_1000;Q;q;Q1_1000;Q1;q1;lam;Fr;Fr_round;G;G_round
-;cm;m;-;cm;m;cm;m;cm;m;10^-3 m3/s;m3/s;m2/s;10^-3 m3/s;m3/s;m2/s;-;-;-;m-1;m-1
148;6.1;0.061;0.0195;11.3;0.113;8.75;0.0875;;;5;0.005;0.007462686567164179;0;0;0;0;0.4491854984810362;0.449;15.088210641987333;15.09
149;6.1;0.061;0.019;11.55;0.1155;11.7;0.11699999999999999;;;1;0.001;0.0014925373134328358;0;0;0;0;0.08807262015929274;0.088;43.737847356588375;43.74
150;6.1;0.061;0.0195;11.65;0.1165;11.7;0.11699999999999999;;;1.5;0.0015;0.0022388059701492534;0;0;0;0;0.12872881130184224;0.129;33.66848453842255;33.67
151;6.1;0.061;0.0195;11.6;0.11599999999999999;11.8;0.11800000000000001;;;2;0.002;0.0029850746268656717;0;0;0;0;0.17274934117430824;0.173;27.79272163160121;27.79
152;6.1;0.061;0.0195;11.6;0.11599999999999999;11.65;0.1165;;;2.5;0.0025;0.0037313432835820895;0;0;0;0;0.21593667646788528;0.216;23.95104144540847;23.95
153;6.1;0.061;0.019;11.75;0.1175;11.4;0.114;;;3;0.003;0.004477611940298507;0;0;0;0;0.25750066084306494;0.258;21.026963852070217;21.03
154;6.1;0.061;0.019;12;0.12;9.6;0.096;;;3.5;0.0035;0.0052238805970149255;0;0;0;0;0.29107845990938735;0.291;18.97340927665677;18.97
155;6.1;0.061;0.019;12.15;0.1215;10.15;0.1015;;;4;0.004;0.005970149253731343;0;0;0;0;0.3265197592096695;0.327;17.357376226168235;17.36
156;6.1;0.061;0.019;12.55;0.1255;10.45;0.1045;;;4.5;0.0045;0.00671641791044776;0;0;0;0;0.3499135965854371;0.35;16.046576666079226;16.05
157;6.1;0.061;0.019;12.9;0.129;10.75;0.1075;;;5;0.005;0.007462686567164179;0;0;0;0;0.3730777354942727;0.373;14.958133387836618;14.96
158;6.1;0.061;0.019;14.05;0.1405;11.35;0.11349999999999999;;;7;0.007;0.010447761194029851;0;0;0;0;0.4595126236899263;0.46;11.952498867965263;11.95
159;6.1;0.061;0.00235;10.1;0.10099999999999999;9.5;0.095;7.15;0.07150000000000001;1;0.001;0.0014925373134328358;0;0;0;0;0.30624901588983927;0.306;21.791919788298717;21.79
160;6.1;0.061;0.0025;14.55;0.14550000000000002;13.1;0.131;9.05;0.09050000000000001;2;0.002;0.0029850746268656717;0;0;0;0;0.34344420667189784;0.343;14.014132200638679;14.01
161;6.1;0.061;0.00225;13.15;0.1315;12;0.12;8.1;0.081;2;0.002;0.0029850746268656717;0.4;0.0004;0.0005970149253731343;0.2;0.4213478682185454;0.421;13.530495874176577;13.53
162;6.1;0.061;0.0024;11.85;0.1185;11;0.11;6.9;0.069;2;0.002;0.0029850746268656717;0.6;0.0006;0.0008955223880597014;0.3;0.47691122325287005;0.477;13.82472881779142;13.82
163;6.1;0.061;0.00215;9.8;0.098;8.7;0.087;5.5;0.055;2;0.002;0.0029850746268656717;1;0.001;0.0014925373134328358;0.5;0.6699807825798848;0.67;13.326998856508217;13.33
164;6.1;0.061;0.0021;17.9;0.179;16.5;0.165;11.25;0.1125;3;0.003;0.004477611940298507;0;0;0;0;0.41192936699312654;0.412;10.09094407687954;10.09
165;6.1;0.061;0.00215;18.25;0.1825;16;0.16;11.1;0.111;3;0.003;0.004477611940298507;0;0;0;0;0.395456223985849;0.395;10.170403601024622;10.17
166;6.1;0.061;0.0021;15.5;0.155;13.45;0.13449999999999998;8.8;0.08800000000000001;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.5112163717662521;0.511;10.09094407687954;10.09
167;6.1;0.061;0.002;12.6;0.126;11.3;0.113;6.65;0.0665;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.7147285539129712;0.715;9.928158448444442;9.93
168;6.1;0.061;0.002;22.05;0.2205;19.95;0.19949999999999998;12.8;0.128;4;0.004;0.005970149253731343;0;0;0;0;0.41164495424664876;0.412;8.19551422806552;8.2
169;6.1;0.061;0.002;26.5;0.265;23.45;0.2345;15.8;0.158;5;0.005;0.007462686567164179;0;0;0;0;0.3905502221805414;0.391;7.062680062237693;7.06
170;6.1;0.061;0.0018;22.8;0.228;21.15;0.2115;13.6;0.136;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.5158485034066775;0.516;6.8189426269563205;6.82
171;6.1;0.061;0.00175;19.9;0.19899999999999998;19.9;0.19899999999999998;10.9;0.109;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.6415966076131986;0.642;6.755210462499662;6.76
172;6.1;0.061;0.019;6.7;0.067;6.65;0.0665;6.15;0.061500000000000006;1;0.001;0.0014925373134328358;0;0;0;0;0.19934332094510737;0.199;43.737847356588375;43.74
173;6.1;0.061;0.0195;9.6;0.096;8.85;0.0885;6.85;0.06849999999999999;3;0.003;0.004477611940298507;0;0;0;0;0.34418171406111037;0.344;21.20981619400933;21.21
174;6.1;0.061;0.0195;11.65;0.1165;10.85;0.1085;7.8;0.078;4;0.004;0.005970149253731343;0;0;0;0;0.343276830138246;0.343;17.508317508761476;17.51
175;6.1;0.061;0.02;8.85;0.0885;7.85;0.0785;5.1;0.051;4;0.004;0.005970149253731343;1.2;0.0012;0.0017910447761194028;0.3;0.5119420239190215;0.512;17.656700155594233;17.66
176;6.1;0.061;0.0195;6.9;0.069;6.4;0.064;3.75;0.0375;4;0.004;0.005970149253731343;2;0.002;0.0029850746268656717;0.5;0.7531123043270951;0.753;17.508317508761476;17.51
177;6.1;0.061;0.0205;12.9;0.129;11.55;0.1155;8.65;0.08650000000000001;5;0.005;0.007462686567164179;0;0;0;0;0.35916929480020404;0.359;15.341841385149383;15.34
178;6.1;0.061;0.02;16.35;0.1635;14.7;0.147;10.65;0.1065;7;0.007;0.010447761194029851;0;0;0;0;0.35677720614596337;0.357;12.15861694024772;12.16
179;6.1;0.061;0.0195;9.2;0.092;9.1;0.091;5.5;0.055;7;0.007;0.010447761194029851;3.5;0.0035;0.0052238805970149255;0.5;0.8560313835279958;0.856;12.056438857847201;12.06
